---Mean Power Records---
Gen 1 : 7954.649702905091
Gen 2 : 9343.802023680322
Gen 3 : 6133.032306837138
Gen 4 : 6052.858240154058
Gen 5 : 10116.9571066898
Gen 6 : 7070.022356574074
Gen 7 : 8067.15505528352
Gen 8 : 6004.43541234404
Gen 9 : 5701.727019171618
Gen 10 : 7790.936285629014
Gen 11 : 6189.310925509694
Gen 12 : 4114.670403291436
Gen 13 : 5297.575505530173
Gen 14 : 12085.190840055086
Gen 15 : 5971.613604091879
Gen 16 : 9787.603057608902
Gen 17 : 5869.373268638744
Gen 18 : 6149.578742278299
Gen 19 : 14849.534629933265
Gen 20 : 8025.410340663205
Gen 21 : 5870.683477088745
Gen 22 : 13889.677457089692
Gen 23 : 7503.250709901084
Gen 24 : 4888.22781496175
Gen 25 : 8105.578409138278
Gen 26 : 3658.4932786648365
Gen 27 : 9499.03013713658
Gen 28 : 7339.2296534043935
Gen 29 : 7279.796525421958
Gen 30 : 8589.593905852693
Gen 31 : 4171.03492942704
Gen 32 : 6439.043117858761
Gen 33 : 8329.7980958098
Gen 34 : 4468.143127591349
Gen 35 : 7841.172854396477
Gen 36 : 6617.120954827023
Gen 37 : 13122.261532954291
Gen 38 : 11166.731223645906
Gen 39 : 10533.235615566808
Gen 40 : 11751.480315619832
Gen 41 : 11488.520347567392
Gen 42 : 4691.8402623696065
Gen 43 : 5477.223759105008
Gen 44 : 9274.12740073607
Gen 45 : 3680.560381644098
Gen 46 : 2544.830153046351
Gen 47 : 1942.6629568321234
Gen 48 : 2228.038208457716
Gen 49 : 2353.1645594408933
Gen 50 : 4440.601724246136
Gen 51 : 8942.000088416416
Gen 52 : 3345.702414164167
Gen 53 : 4980.852890561684
Gen 54 : 2932.854132496913
Gen 55 : 3367.680998333762
Gen 56 : 1975.4604101912414
Gen 57 : 2774.9533119847442
Gen 58 : 4764.056523462088
Gen 59 : 3601.31384444024
Gen 60 : 2317.1982551100646
Gen 61 : 2414.9713034633087
Gen 62 : 3618.5766749875243
Gen 63 : 3042.395476016617
Gen 64 : 3464.242674279275
Gen 65 : 2604.503172710091
Gen 66 : 1635.7536018813591
Gen 67 : 5083.3669421616405
Gen 68 : 3729.5237705759146
Gen 69 : 4358.216576575206
Gen 70 : 6246.959754432508
Gen 71 : 8788.994594262875
Gen 72 : 8844.102705966754
Gen 73 : 9351.971181437795
Gen 74 : 9669.354809516131
Gen 75 : 15733.968858341545
Gen 76 : 16872.855995320188
Gen 77 : 11839.602364883347
Gen 78 : 7568.449244361949
Gen 79 : 6531.880950666395
Gen 80 : 21408.848926365707
Gen 81 : 8469.522870679208
Gen 82 : 8737.194163872202
Gen 83 : 12217.681580861328
Gen 84 : 6513.044077848393
Gen 85 : 8134.091720867665
Gen 86 : 7723.506111090507
Gen 87 : 7871.331428418282
Gen 88 : 11172.116986793302
Gen 89 : 13015.77986679029
Gen 90 : 8991.836456148638
Gen 91 : 7966.574410060094
Gen 92 : 8829.9554220957
Gen 93 : 3749.506320271141
Gen 94 : 6532.818082063488
Gen 95 : 5935.8460258644955
Gen 96 : 3579.063556218114
Gen 97 : 9162.37342637705
Gen 98 : 4390.2017841348215
Gen 99 : 7325.912842359348
Gen 100 : 3984.591880997705
Gen 101 : 9474.03555967936
Gen 102 : 5159.578381399937
Gen 103 : 7008.8595106652565
Gen 104 : 6267.664556124295
Gen 105 : 9111.826604230931
Gen 106 : 5689.0646537198445
Gen 107 : 8860.49243526093
Gen 108 : 6360.407373594012
Gen 109 : 6877.014288329122
Gen 110 : 4482.134020022382
Gen 111 : 5853.478263663732
Gen 112 : 4172.176229339766
Gen 113 : 4957.49711103702
Gen 114 : 9717.296501350613
Gen 115 : 4145.952749710546
Gen 116 : 4342.375669168019
Gen 117 : 14206.613710509675
Gen 118 : 8949.260413042914
Gen 119 : 10107.42299773469
Gen 120 : 8684.484803808624
Gen 121 : 5378.813371177619
Gen 122 : 6511.332622959713
Gen 123 : 8196.710183479852
Gen 124 : 6390.69426253152
Gen 125 : 7455.056836785059
Gen 126 : 9908.864806596444
Gen 127 : 10839.336298574588
Gen 128 : 12175.225155012478
Gen 129 : 10272.713774536842
Gen 130 : 4519.959938768046
Gen 131 : 2840.391557522551
Gen 132 : 3452.4748465406938
Gen 133 : 5631.0786513283665
Gen 134 : 9073.985520193379
Gen 135 : 15266.094327669856
Gen 136 : 6964.3113493763085
Gen 137 : 10911.681692508007
Gen 138 : 7169.746760497824
Gen 139 : 4595.307037392165
Gen 140 : 3617.955906982092
Gen 141 : 10231.327013149174
Gen 142 : 4914.301447242568
Gen 143 : 10029.524792772432
Gen 144 : 17801.26994970031
Gen 145 : 21231.196169123905
Gen 146 : 14291.048780619665
Gen 147 : 9159.689785797786
Gen 148 : 13451.64745752161
Gen 149 : 4813.692494572758
Gen 150 : 13802.989601943491
Gen 151 : 4195.987007294158
Gen 152 : 12907.726672512716
Gen 153 : 11457.535451778807
Gen 154 : 9636.05746235179
Gen 155 : 9265.467280813866
Gen 156 : 3234.351764853771
Gen 157 : 9186.958672715693
Gen 158 : 6306.058822186915
Gen 159 : 6144.789911850962
Gen 160 : 6087.600621025066
Gen 161 : 4289.28056595828
Gen 162 : 11748.499813604754
Gen 163 : 6485.598761134174
Gen 164 : 7793.685404144182
Gen 165 : 7475.771031905235
Gen 166 : 12822.34741295026
Gen 167 : 9454.772641937889
Gen 168 : 6810.6757148424285
Gen 169 : 5567.318041986588
Gen 170 : 13672.425963413774
Gen 171 : 16408.527465502488
Gen 172 : 11866.656367490858
Gen 173 : 4698.376345322112
Gen 174 : 4533.915051483601
Gen 175 : 6827.584833765195
Gen 176 : 4761.229429525716
Gen 177 : 7297.802661505517
Gen 178 : 6745.623034828786
Gen 179 : 9236.396981568081
Gen 180 : 8269.378525686012
Gen 181 : 4225.700699038049
Gen 182 : 4108.897134301034
Gen 183 : 3488.670316931471
Gen 184 : 5813.117660740548
Gen 185 : 3937.2018346806394
Gen 186 : 6200.6157994903815
Gen 187 : 6477.3600221693905
Gen 188 : 10897.875936220707
Gen 189 : 3925.3554394001644
Gen 190 : 8298.81152407946
Gen 191 : 11515.751204398286
Gen 192 : 13966.628966928043
Gen 193 : 9779.309431461279
Gen 194 : 14622.507502647655
Gen 195 : 20035.184942569478
Gen 196 : 21211.782297279515
Gen 197 : 10700.32162907514
Gen 198 : 10705.22062755072
Gen 199 : 10037.83261646052
Gen 200 : 11743.864456330884
Gen 201 : 6838.707248505273
Gen 202 : 6070.684824743097
Gen 203 : 3541.9976501983897
Gen 204 : 5663.69067368519
Gen 205 : 4999.328306336359
Gen 206 : 5022.25246519735
Gen 207 : 10915.488487306762
Gen 208 : 2853.637375300503
Gen 209 : 3085.2977779529524
Gen 210 : 6700.434181672627
Gen 211 : 16372.780602278724
Gen 212 : 7369.9481944481095
Gen 213 : 8100.666208412212
Gen 214 : 13501.872512919328
Gen 215 : 14602.130555020318
Gen 216 : 7392.500786375275
Gen 217 : 6305.483249495349
Gen 218 : 12773.442049385474
Gen 219 : 3993.4251301630925
Gen 220 : 5208.1411407476235
Gen 221 : 6975.395095201269
Gen 222 : 7688.186616881499
Gen 223 : 4450.075732443897
Gen 224 : 3990.9671550661137
Gen 225 : 4429.158052950558
Gen 226 : 4531.461366552805
Gen 227 : 4487.516511928026
Gen 228 : 4362.28606137558
Gen 229 : 3000.036423245646
Gen 230 : 5458.936305094997
Gen 231 : 6635.023553949938
Gen 232 : 2791.6677873941803
Gen 233 : 2952.4881187779247
Gen 234 : 13014.88616524407
Gen 235 : 7771.369053608145
Gen 236 : 5462.615865516766
Gen 237 : 4225.01755918524
Gen 238 : 6609.483794105761
Gen 239 : 4336.127110623881
Gen 240 : 2444.7562771708695
Gen 241 : 2763.978958171666
Gen 242 : 1911.306190211254
Gen 243 : 2167.9867914463393
Gen 244 : 1875.9445980209716
Gen 245 : 1817.104595742219
Gen 246 : 1559.3583501705787
Gen 247 : 12108.59504692769
Gen 248 : 8419.928946070839
Gen 249 : 13151.456307504075
Gen 250 : 4917.278460662467
Gen 251 : 10625.88838558949
Gen 252 : 4559.731155471531
Gen 253 : 3488.456783953787
Gen 254 : 7587.337468595204
Gen 255 : 5186.565041550254
Gen 256 : 2337.924563695198
Gen 257 : 3840.419927342022
Gen 258 : 3820.9062085304226
Gen 259 : 3389.616562953506
Gen 260 : 3808.713831105528
Gen 261 : 2170.681843588465
Gen 262 : 2818.2744671055566
Gen 263 : 1227.302490597041
Gen 264 : 0.0
Gen 265 : 0.0
Gen 266 : 0.0
Gen 267 : 0.0
Gen 268 : 0.0
Gen 269 : 0.0
Gen 270 : 0.0
Gen 271 : 0.0
Gen 272 : 0.0
Gen 273 : 0.0
Gen 274 : 0.0
Gen 275 : 0.0
Gen 276 : 0.0
Gen 277 : 0.0
Gen 278 : 0.0
Gen 279 : 0.0
Gen 280 : 0.0
Gen 281 : 0.0
Gen 282 : 0.0
Gen 283 : 0.0
Gen 284 : 0.0
Gen 285 : 0.0
Gen 286 : 0.0
Gen 287 : 0.0
Gen 288 : 0.0
Gen 289 : 0.0
Gen 290 : 0.0
Gen 291 : 0.0
Gen 292 : 0.0
Gen 293 : 0.0
Gen 294 : 0.0
Gen 295 : 0.0
Gen 296 : 0.0
Gen 297 : 0.0
Gen 298 : 0.0
Gen 299 : 0.0
Gen 300 : 0.0
Gen 301 : 0.0
Gen 302 : 0.0
Gen 303 : 0.0
Gen 304 : 0.0
Gen 305 : 0.0
Gen 306 : 0.0
Gen 307 : 0.0
Gen 308 : 0.0
Gen 309 : 0.0
Gen 310 : 0.0
Gen 311 : 0.0
Gen 312 : 0.0
Gen 313 : 0.0
Gen 314 : 0.0
Gen 315 : 0.0
Gen 316 : 0.0
Gen 317 : 0.0
Gen 318 : 0.0
Gen 319 : 0.0
Gen 320 : 0.0
Gen 321 : 0.0
Gen 322 : 0.0
Gen 323 : 0.0
Gen 324 : 0.0
Gen 325 : 0.0
Gen 326 : 0.0
Gen 327 : 0.0
Gen 328 : 0.0
Gen 329 : 0.0
Gen 330 : 0.0
Gen 331 : 0.0
Gen 332 : 0.0
Gen 333 : 0.0
Gen 334 : 0.0
Gen 335 : 0.0
Gen 336 : 0.0
Gen 337 : 0.0
Gen 338 : 0.0
Gen 339 : 0.0
Gen 340 : 0.0
Gen 341 : 0.0
Gen 342 : 0.0
Gen 343 : 0.0
Gen 344 : 0.0
Gen 345 : 0.0
Gen 346 : 0.0
Gen 347 : 0.0
Gen 348 : 0.0
Gen 349 : 0.0
Gen 350 : 0.0
Gen 351 : 0.0
Gen 352 : 0.0
Gen 353 : 0.0
Gen 354 : 0.0
Gen 355 : 0.0
Gen 356 : 0.0
Gen 357 : 0.0
Gen 358 : 0.0
Gen 359 : 0.0
Gen 360 : 0.0
Gen 361 : 0.0
Gen 362 : 0.0
Gen 363 : 0.0
Gen 364 : 0.0
Gen 365 : 0.0
Gen 366 : 0.0
Gen 367 : 0.0
Gen 368 : 0.0
Gen 369 : 0.0
Gen 370 : 0.0
Gen 371 : 0.0
Gen 372 : 0.0
Gen 373 : 0.0
Gen 374 : 0.0
Gen 375 : 0.0
Gen 376 : 0.0
Gen 377 : 0.0
Gen 378 : 0.0
Gen 379 : 0.0
Gen 380 : 0.0
Gen 381 : 0.0
Gen 382 : 0.0
Gen 383 : 0.0
Gen 384 : 0.0
