---Mean Power Records---
Gen 1 : 9259.616710010578
Gen 2 : 9096.860144037331
Gen 3 : 7654.539736630843
Gen 4 : 7278.276260274
Gen 5 : 7261.064680867482
Gen 6 : 7234.216996123772
Gen 7 : 6943.577186784232
Gen 8 : 6264.451054409431
Gen 9 : 4742.316560626375
Gen 10 : 5712.934671311554
Gen 11 : 5638.282419960811
Gen 12 : 5541.51011635473
Gen 13 : 4893.905351758755
Gen 14 : 5596.618805513748
Gen 15 : 5577.141753398155
Gen 16 : 5159.642001150803
Gen 17 : 4840.511551897789
Gen 18 : 5368.152699760528
Gen 19 : 5303.584694495095
Gen 20 : 4516.773678294068
Gen 21 : 5800.874049344329
Gen 22 : 5341.688920649188
Gen 23 : 4660.722001359726
Gen 24 : 5437.805446659659
Gen 25 : 5010.7892208892545
Gen 26 : 5341.789095796943
Gen 27 : 6058.221837159999
Gen 28 : 5283.985871204328
Gen 29 : 5177.467582823161
Gen 30 : 5887.237266815869
Gen 31 : 5134.062531363554
Gen 32 : 5074.446614351892
Gen 33 : 4913.250466646152
Gen 34 : 5306.139832728917
Gen 35 : 4723.853081511102
Gen 36 : 5276.919071549366
Gen 37 : 5118.360864097791
Gen 38 : 5153.97319901617
Gen 39 : 5245.35605995491
Gen 40 : 4990.185353370916
Gen 41 : 5360.43022873062
Gen 42 : 5060.201076926971
Gen 43 : 5291.372561568516
Gen 44 : 5135.628696402317
Gen 45 : 5608.46496628305
Gen 46 : 5120.515525932768
Gen 47 : 5098.9659784532705
Gen 48 : 4352.527715340055
Gen 49 : 4988.917441141075
Gen 50 : 5483.484714614555
Gen 51 : 5106.312565033784
Gen 52 : 5639.43867498309
Gen 53 : 5131.742412308343
Gen 54 : 5082.798664919538
Gen 55 : 4873.263403012966
Gen 56 : 4930.460847494689
Gen 57 : 4769.549658269409
Gen 58 : 5168.162662753802
Gen 59 : 4702.881241466097
Gen 60 : 5929.18116453797
Gen 61 : 5068.689535967945
Gen 62 : 4496.3871103277
Gen 63 : 5593.382026944944
Gen 64 : 5205.070340170852
Gen 65 : 5062.789327385884
Gen 66 : 5000.148808245274
Gen 67 : 5289.540175178323
Gen 68 : 5299.511014713948
Gen 69 : 5643.604229937835
Gen 70 : 4670.088337132929
Gen 71 : 4223.1397707621345
Gen 72 : 4996.220396221427
Gen 73 : 5127.51310300015
Gen 74 : 5223.259431927366
Gen 75 : 6124.368112967196
Gen 76 : 4865.920350891428
Gen 77 : 4780.333379568599
Gen 78 : 4179.692063414749
Gen 79 : 4330.2015492579685
Gen 80 : 4718.9722816312915
Gen 81 : 5001.35853718458
Gen 82 : 4562.62512555763
Gen 83 : 5073.0435185924935
Gen 84 : 4611.260825469316
Gen 85 : 4681.895539341768
Gen 86 : 4906.110584919247
Gen 87 : 4715.32209312805
Gen 88 : 5445.422468485414
Gen 89 : 4094.2467539085233
Gen 90 : 0.0
Gen 91 : 0.0
Gen 92 : 0.0
Gen 93 : 0.0
Gen 94 : 0.0
Gen 95 : 0.0
Gen 96 : 0.0
Gen 97 : 0.0
Gen 98 : 0.0
Gen 99 : 0.0
Gen 100 : 0.0
Gen 101 : 0.0
Gen 102 : 0.0
Gen 103 : 0.0
Gen 104 : 0.0
Gen 105 : 0.0
Gen 106 : 0.0
Gen 107 : 0.0
Gen 108 : 0.0
Gen 109 : 0.0
Gen 110 : 0.0
Gen 111 : 0.0
Gen 112 : 0.0
Gen 113 : 0.0
Gen 114 : 0.0
Gen 115 : 0.0
Gen 116 : 0.0
Gen 117 : 0.0
Gen 118 : 0.0
Gen 119 : 0.0
Gen 120 : 0.0
Gen 121 : 0.0
Gen 122 : 0.0
Gen 123 : 0.0
Gen 124 : 0.0
Gen 125 : 0.0
Gen 126 : 0.0
Gen 127 : 0.0
Gen 128 : 0.0
Gen 129 : 0.0
Gen 130 : 0.0
Gen 131 : 0.0
Gen 132 : 0.0
Gen 133 : 0.0
Gen 134 : 0.0
Gen 135 : 0.0
Gen 136 : 0.0
Gen 137 : 0.0
Gen 138 : 0.0
Gen 139 : 0.0
Gen 140 : 0.0
Gen 141 : 0.0
Gen 142 : 0.0
Gen 143 : 0.0
Gen 144 : 0.0
Gen 145 : 0.0
Gen 146 : 0.0
Gen 147 : 0.0
Gen 148 : 0.0
Gen 149 : 0.0
Gen 150 : 0.0
Gen 151 : 0.0
Gen 152 : 0.0
Gen 153 : 0.0
Gen 154 : 0.0
Gen 155 : 0.0
Gen 156 : 0.0
Gen 157 : 0.0
Gen 158 : 0.0
Gen 159 : 0.0
Gen 160 : 0.0
Gen 161 : 0.0
Gen 162 : 0.0
Gen 163 : 0.0
Gen 164 : 0.0
Gen 165 : 0.0
Gen 166 : 0.0
Gen 167 : 0.0
Gen 168 : 0.0
Gen 169 : 0.0
Gen 170 : 0.0
Gen 171 : 0.0
Gen 172 : 0.0
Gen 173 : 0.0
Gen 174 : 0.0
Gen 175 : 0.0
Gen 176 : 0.0
Gen 177 : 0.0
Gen 178 : 0.0
Gen 179 : 0.0
Gen 180 : 0.0
Gen 181 : 0.0
Gen 182 : 0.0
Gen 183 : 0.0
Gen 184 : 0.0
Gen 185 : 0.0
Gen 186 : 0.0
Gen 187 : 0.0
Gen 188 : 0.0
Gen 189 : 0.0
Gen 190 : 0.0
Gen 191 : 0.0
Gen 192 : 0.0
Gen 193 : 0.0
Gen 194 : 0.0
Gen 195 : 0.0
Gen 196 : 0.0
Gen 197 : 0.0
Gen 198 : 0.0
Gen 199 : 0.0
Gen 200 : 0.0
Gen 201 : 0.0
Gen 202 : 0.0
Gen 203 : 0.0
Gen 204 : 0.0
Gen 205 : 0.0
Gen 206 : 0.0
Gen 207 : 0.0
Gen 208 : 0.0
Gen 209 : 0.0
Gen 210 : 0.0
Gen 211 : 0.0
Gen 212 : 0.0
Gen 213 : 0.0
Gen 214 : 0.0
Gen 215 : 0.0
Gen 216 : 0.0
Gen 217 : 0.0
Gen 218 : 0.0
Gen 219 : 0.0
Gen 220 : 0.0
Gen 221 : 0.0
Gen 222 : 0.0
Gen 223 : 0.0
Gen 224 : 0.0
Gen 225 : 0.0
Gen 226 : 0.0
Gen 227 : 0.0
Gen 228 : 0.0
Gen 229 : 0.0
Gen 230 : 0.0
Gen 231 : 0.0
Gen 232 : 0.0
Gen 233 : 0.0
Gen 234 : 0.0
Gen 235 : 0.0
Gen 236 : 0.0
Gen 237 : 0.0
Gen 238 : 0.0
Gen 239 : 0.0
Gen 240 : 0.0
Gen 241 : 0.0
Gen 242 : 0.0
Gen 243 : 0.0
Gen 244 : 0.0
