---Mean Power Records---
Gen 1 : 9815.382493948187
Gen 2 : 9705.092759404046
Gen 3 : 9746.180071651537
Gen 4 : 9325.371690197893
Gen 5 : 9562.31529734598
Gen 6 : 9709.893991442914
Gen 7 : 9943.91331769979
Gen 8 : 9575.591758154089
Gen 9 : 9725.412358494852
Gen 10 : 9473.93216221786
Gen 11 : 8711.025539249953
Gen 12 : 8839.136860510294
Gen 13 : 9189.323140319128
Gen 14 : 9400.785466785583
Gen 15 : 9642.771739836391
Gen 16 : 9014.728889953776
Gen 17 : 9304.266756221386
Gen 18 : 9810.904442981828
Gen 19 : 9375.918914574768
Gen 20 : 8698.828268882799
Gen 21 : 9238.216053783819
Gen 22 : 8889.25909953176
Gen 23 : 8925.561237412188
Gen 24 : 8535.817022243438
Gen 25 : 8296.594728238739
Gen 26 : 7236.132944838659
Gen 27 : 7212.59943868732
Gen 28 : 7881.633707356203
Gen 29 : 5930.8773520926625
Gen 30 : 4703.342835499126
Gen 31 : 6150.223796630182
Gen 32 : 5768.41155928381
Gen 33 : 4818.433641135926
Gen 34 : 4974.330844446092
Gen 35 : 5911.073293589877
Gen 36 : 7264.9657089378015
Gen 37 : 6256.761442679502
Gen 38 : 7974.509521941411
Gen 39 : 8166.341823699519
Gen 40 : 8633.201017298283
Gen 41 : 8962.452452811604
Gen 42 : 9117.025456912635
Gen 43 : 9358.967915913421
Gen 44 : 9361.036510332946
Gen 45 : 8888.536491082297
Gen 46 : 9322.519102499535
Gen 47 : 9784.300182637786
Gen 48 : 9426.457477521835
Gen 49 : 9627.289017609059
Gen 50 : 9157.100833905923
Gen 51 : 8638.298688413926
Gen 52 : 8634.595117331628
Gen 53 : 8403.356269034408
Gen 54 : 8494.981625228922
Gen 55 : 8459.974771561694
Gen 56 : 8363.597965544588
Gen 57 : 8548.856045312672
Gen 58 : 9186.121204226867
Gen 59 : 9702.41768646963
Gen 60 : 9168.435795768395
Gen 61 : 8512.702119721642
Gen 62 : 8493.705334904043
Gen 63 : 8555.46633584244
Gen 64 : 8788.267631612809
Gen 65 : 8340.55612051365
Gen 66 : 8244.987432397287
Gen 67 : 8986.590832853783
Gen 68 : 7875.8945086646545
Gen 69 : 8573.610902401317
Gen 70 : 7731.015591213113
Gen 71 : 7591.552738773769
Gen 72 : 7445.135177847579
Gen 73 : 8481.263107095543
Gen 74 : 8607.727466178301
Gen 75 : 8800.703875240972
Gen 76 : 9518.419803089348
Gen 77 : 9558.653282369982
Gen 78 : 9324.882255299852
Gen 79 : 8999.969275224319
Gen 80 : 8976.789957070856
Gen 81 : 8555.689391250457
Gen 82 : 8892.144402258493
Gen 83 : 8545.899033324762
Gen 84 : 9208.827518048114
Gen 85 : 9307.297293808837
Gen 86 : 9604.088961665124
Gen 87 : 9518.225297450186
Gen 88 : 9302.774055826982
Gen 89 : 8867.07848036864
Gen 90 : 9144.694270982784
Gen 91 : 8691.584403841676
Gen 92 : 8860.776793454863
Gen 93 : 8826.818107911195
Gen 94 : 8876.45972841617
Gen 95 : 8648.263216322142
Gen 96 : 8633.30537596959
Gen 97 : 9229.096841746883
Gen 98 : 9725.358671093258
Gen 99 : 9819.983041393816
Gen 100 : 9247.208775107909
Gen 101 : 8942.043776875606
Gen 102 : 8093.647539120297
Gen 103 : 9107.376430834176
Gen 104 : 9027.321638350997
Gen 105 : 9899.981253433445
Gen 106 : 9217.392635274504
Gen 107 : 8450.916180602097
Gen 108 : 8828.896311123655
Gen 109 : 8033.619207198581
Gen 110 : 8560.140446948113
Gen 111 : 9055.676936364956
Gen 112 : 7832.800066871781
Gen 113 : 8828.624799165254
Gen 114 : 9081.566611764672
Gen 115 : 9828.64690453113
Gen 116 : 9502.215878193767
Gen 117 : 9324.719713085686
Gen 118 : 8681.681352749252
Gen 119 : 8330.685529940709
Gen 120 : 8010.0376996872465
Gen 121 : 7398.764307904307
Gen 122 : 8508.68757565529
Gen 123 : 7546.66799601128
Gen 124 : 7847.686645059365
Gen 125 : 6213.743764714224
Gen 126 : 7415.177612101506
Gen 127 : 7967.932277075305
Gen 128 : 8646.13303621567
Gen 129 : 9473.109486441686
Gen 130 : 9714.840083641411
Gen 131 : 9369.03984924062
Gen 132 : 9309.172059044706
Gen 133 : 9275.280039749541
Gen 134 : 9151.269318547798
Gen 135 : 9450.167005924628
Gen 136 : 9504.696030226274
Gen 137 : 9940.01316507903
Gen 138 : 9225.982855653769
Gen 139 : 9329.32312437079
Gen 140 : 9126.797555888466
Gen 141 : 9427.711626353897
Gen 142 : 9543.296555909223
Gen 143 : 9317.854528020775
Gen 144 : 8889.606687098572
Gen 145 : 9179.3058300958
Gen 146 : 9490.974140215998
Gen 147 : 9572.701773190569
Gen 148 : 9375.900308536087
Gen 149 : 9177.551750416633
Gen 150 : 8931.570722669534
Gen 151 : 9440.889235536953
Gen 152 : 9393.3276334001
Gen 153 : 9858.04027627966
Gen 154 : 8714.088253317881
Gen 155 : 8428.604837758256
Gen 156 : 9454.954462652971
Gen 157 : 8610.473863424879
Gen 158 : 9342.049583175878
Gen 159 : 8510.058400646407
Gen 160 : 8593.75684161657
Gen 161 : 7466.004402470603
Gen 162 : 8319.668563732721
Gen 163 : 9462.756621592309
Gen 164 : 8392.730013905775
Gen 165 : 8499.094859262115
Gen 166 : 7856.173364918887
Gen 167 : 7094.46632823503
Gen 168 : 6462.986790193725
Gen 169 : 5655.768738086688
Gen 170 : 7333.015155019017
Gen 171 : 7046.4091345686875
Gen 172 : 9042.157030858622
Gen 173 : 9170.853976359826
Gen 174 : 8673.333644203594
Gen 175 : 8944.66525013687
Gen 176 : 9518.792283466102
Gen 177 : 9090.732116235418
Gen 178 : 8634.34958867432
Gen 179 : 9053.352817718122
Gen 180 : 8640.248081473308
Gen 181 : 8788.534144183008
Gen 182 : 8194.43242846697
Gen 183 : 8590.28056734655
Gen 184 : 9304.784839586215
Gen 185 : 8510.072851308787
Gen 186 : 8459.459513338219
Gen 187 : 8896.503147725116
Gen 188 : 8917.215906290845
Gen 189 : 8740.480310649555
Gen 190 : 8490.239026076422
Gen 191 : 9342.123009537645
Gen 192 : 9281.815797053594
Gen 193 : 9407.630756398094
Gen 194 : 9186.231185951112
Gen 195 : 8481.50808536133
Gen 196 : 8826.954888341537
Gen 197 : 8814.20415703792
Gen 198 : 9395.00749257924
Gen 199 : 9350.05918661178
Gen 200 : 9255.298601304496
Gen 201 : 8946.736452178513
Gen 202 : 9001.12878126219
Gen 203 : 9312.452887380296
Gen 204 : 9120.445616238949
Gen 205 : 9312.427326177738
Gen 206 : 8945.16050722116
Gen 207 : 8826.187685602852
Gen 208 : 8269.218169718197
Gen 209 : 8603.039799482958
Gen 210 : 8556.136831714
Gen 211 : 9182.42817749184
Gen 212 : 8623.937589955904
Gen 213 : 7392.906668724754
Gen 214 : 7193.068480475788
Gen 215 : 5966.744910794514
Gen 216 : 6445.203556090225
Gen 217 : 5072.5943043784055
Gen 218 : 6260.960086246095
Gen 219 : 7460.218999140783
Gen 220 : 9366.760468152213
Gen 221 : 9034.1711318133
Gen 222 : 8542.183646587046
Gen 223 : 9169.685427314262
Gen 224 : 8131.871302217834
Gen 225 : 6149.1607055351205
Gen 226 : 6539.460292087909
Gen 227 : 5512.662926401668
Gen 228 : 4306.633637483378
Gen 229 : 4401.547228198076
Gen 230 : 3490.9426429370255
Gen 231 : 2819.3916564297806
Gen 232 : 0.0
Gen 233 : 0.0
Gen 234 : 0.0
Gen 235 : 0.0
Gen 236 : 0.0
Gen 237 : 0.0
Gen 238 : 0.0
Gen 239 : 0.0
Gen 240 : 0.0
Gen 241 : 0.0
Gen 242 : 0.0
Gen 243 : 0.0
Gen 244 : 0.0
Gen 245 : 0.0
Gen 246 : 0.0
Gen 247 : 0.0
Gen 248 : 0.0
Gen 249 : 0.0
Gen 250 : 0.0
Gen 251 : 0.0
Gen 252 : 0.0
Gen 253 : 0.0
Gen 254 : 0.0
Gen 255 : 0.0
Gen 256 : 0.0
Gen 257 : 0.0
Gen 258 : 0.0
Gen 259 : 0.0
Gen 260 : 0.0
Gen 261 : 0.0
Gen 262 : 0.0
Gen 263 : 0.0
Gen 264 : 0.0
Gen 265 : 0.0
Gen 266 : 0.0
Gen 267 : 0.0
Gen 268 : 0.0
Gen 269 : 0.0
Gen 270 : 0.0
Gen 271 : 0.0
Gen 272 : 0.0
Gen 273 : 0.0
Gen 274 : 0.0
Gen 275 : 0.0
Gen 276 : 0.0
Gen 277 : 0.0
Gen 278 : 0.0
Gen 279 : 0.0
Gen 280 : 0.0
Gen 281 : 0.0
Gen 282 : 0.0
Gen 283 : 0.0
Gen 284 : 0.0
