---Mean Power Records---
Gen 1 : 9725.508049968475
Gen 2 : 9893.529982030446
Gen 3 : 9562.479652067233
Gen 4 : 9155.588337307736
Gen 5 : 9622.291568971988
Gen 6 : 9517.456035810541
Gen 7 : 9259.959461621496
Gen 8 : 9590.563234153387
Gen 9 : 9761.728286229625
Gen 10 : 9748.476660993709
Gen 11 : 9547.175237767442
Gen 12 : 9452.619282209387
Gen 13 : 9501.10338604176
Gen 14 : 9677.307955306895
Gen 15 : 9601.544825277748
Gen 16 : 8915.372736953579
Gen 17 : 8975.986499383565
Gen 18 : 8173.454647613373
Gen 19 : 8202.449721272906
Gen 20 : 7149.843944392543
Gen 21 : 6043.443344638246
Gen 22 : 5468.334854681506
Gen 23 : 7040.19734280257
Gen 24 : 5341.415923498818
Gen 25 : 5123.937657842078
Gen 26 : 5887.9001897282
Gen 27 : 5581.126018326503
Gen 28 : 4700.296995695459
Gen 29 : 5255.352653475244
Gen 30 : 4488.552650156623
Gen 31 : 5498.383834587668
Gen 32 : 4780.68205223949
Gen 33 : 4306.875830803002
Gen 34 : 5773.025877367434
Gen 35 : 6035.935439934452
Gen 36 : 4910.33872242847
Gen 37 : 7012.793712452774
Gen 38 : 9172.308755629912
Gen 39 : 8701.360393296263
Gen 40 : 9493.338487771134
Gen 41 : 9502.011987708485
Gen 42 : 9627.744288918808
Gen 43 : 9661.6852645813
Gen 44 : 9598.971540231492
Gen 45 : 9289.65654974595
Gen 46 : 9516.708993257942
Gen 47 : 9526.602609361886
Gen 48 : 9665.680321986683
Gen 49 : 9483.067696846208
Gen 50 : 9233.489098506785
Gen 51 : 9261.899951829237
Gen 52 : 9520.184735748871
Gen 53 : 9668.255179841506
Gen 54 : 9508.162064209315
Gen 55 : 9211.420820705926
Gen 56 : 9493.334289418777
Gen 57 : 9370.034997728584
Gen 58 : 9157.80125859773
Gen 59 : 9556.98549338814
Gen 60 : 9544.206629216447
Gen 61 : 9660.334023898395
Gen 62 : 9576.482829321532
Gen 63 : 8870.214958352024
Gen 64 : 9248.027517960792
Gen 65 : 9101.883594277711
Gen 66 : 9303.147255499229
