---Min Power Records---
Gen 1 : 2202.563322041839
Gen 2 : 2202.563322041839
Gen 3 : 2202.563322041839
Gen 4 : 2202.563322041839
Gen 5 : 2202.563322041839
Gen 6 : 2191.7232491261616
Gen 7 : 2191.7232491261616
Gen 8 : 2191.7232491261616
Gen 9 : 2191.7232491261616
Gen 10 : 2191.7232491261616
Gen 11 : 2191.7232491261616
Gen 12 : 2191.7232491261616
Gen 13 : 2191.7232491261616
Gen 14 : 2191.7232491261616
Gen 15 : 2191.7232491261616
Gen 16 : 2191.7232491261616
Gen 17 : 2191.7232491261616
Gen 18 : 2191.7232491261616
Gen 19 : 2191.7232491261616
Gen 20 : 2191.7232491261616
Gen 21 : 2191.7232491261616
Gen 22 : 2191.7232491261616
Gen 23 : 2191.7232491261616
Gen 24 : 2191.7232491261616
Gen 25 : 2191.7232491261616
Gen 26 : 2191.7232491261616
Gen 27 : 2191.7232491261616
Gen 28 : 2191.7232491261616
Gen 29 : 2018.5972989468173
Gen 30 : 2018.5972989468173
Gen 31 : 2018.5972989468173
Gen 32 : 2018.5972989468173
Gen 33 : 2018.5972989468173
Gen 34 : 2018.5972989468173
Gen 35 : 2018.5972989468173
Gen 36 : 2018.5972989468173
Gen 37 : 2018.5972989468173
Gen 38 : 2018.5972989468173
Gen 39 : 2018.5972989468173
Gen 40 : 2018.5972989468173
Gen 41 : 2018.5972989468173
Gen 42 : 2018.5972989468173
Gen 43 : 2018.5972989468173
Gen 44 : 2018.5972989468173
Gen 45 : 2018.5972989468173
Gen 46 : 2018.5972989468173
Gen 47 : 2018.5972989468173
Gen 48 : 2018.5972989468173
Gen 49 : 2018.5972989468173
Gen 50 : 2018.5972989468173
Gen 51 : 2018.5972989468173
Gen 52 : 2018.5972989468173
Gen 53 : 2018.5972989468173
Gen 54 : 2018.5972989468173
Gen 55 : 2018.5972989468173
Gen 56 : 2018.5972989468173
Gen 57 : 2018.5972989468173
Gen 58 : 2018.5972989468173
Gen 59 : 2018.5972989468173
Gen 60 : 2002.0866590485493
Gen 61 : 1997.0799258345405
Gen 62 : 1997.0799258345405
Gen 63 : 1997.0799258345405
Gen 64 : 1997.0799258345405
Gen 65 : 1997.0799258345405
Gen 66 : 1997.0799258345405
Gen 67 : 1997.0799258345405
Gen 68 : 1997.0799258345405
Gen 69 : 1997.0799258345405
Gen 70 : 1997.0799258345405
Gen 71 : 235.55512511646612
Gen 72 : 235.55512511646612
Gen 73 : 235.55512511646612
Gen 74 : 235.55512511646612
Gen 75 : 235.55512511646612
Gen 76 : 235.55512511646612
Gen 77 : 235.55512511646612
Gen 78 : 235.55512511646612
Gen 79 : 235.55512511646612
Gen 80 : 235.55512511646612
Gen 81 : 235.55512511646612
Gen 82 : 235.55512511646612
Gen 83 : 235.55512511646612
Gen 84 : 235.55512511646612
Gen 85 : 235.55512511646612
Gen 86 : 235.55512511646612
Gen 87 : 235.55512511646612
