---Min Power Records---
Gen 1 : 8027.277058384901
Gen 2 : 2994.651547942822
Gen 3 : 2994.651547942822
Gen 4 : 2994.651547942822
Gen 5 : 2994.651547942822
Gen 6 : 2994.651547942822
Gen 7 : 2994.651547942822
Gen 8 : 2994.651547942822
Gen 9 : 2994.651547942822
Gen 10 : 2945.9299139459345
Gen 11 : 2740.4804737928016
Gen 12 : 2740.4804737928016
Gen 13 : 2740.4804737928016
Gen 14 : 2740.4804737928016
Gen 15 : 2740.4804737928016
Gen 16 : 2740.4804737928016
Gen 17 : 2740.4804737928016
Gen 18 : 2740.4804737928016
Gen 19 : 2740.4804737928016
Gen 20 : 2740.4804737928016
Gen 21 : 2623.3714928275895
Gen 22 : 2623.3714928275895
Gen 23 : 2623.3714928275895
Gen 24 : 2623.3714928275895
Gen 25 : 2623.3714928275895
Gen 26 : 2623.3714928275895
Gen 27 : 2623.3714928275895
Gen 28 : 2623.3714928275895
Gen 29 : 2564.5183011771605
Gen 30 : 2512.122972873328
Gen 31 : 2512.122972873328
Gen 32 : 2512.122972873328
Gen 33 : 2512.122972873328
Gen 34 : 2512.122972873328
Gen 35 : 2512.122972873328
Gen 36 : 2498.323183199347
Gen 37 : 2498.323183199347
Gen 38 : 2498.323183199347
Gen 39 : 2498.323183199347
Gen 40 : 2498.323183199347
Gen 41 : 2498.323183199347
Gen 42 : 2498.323183199347
Gen 43 : 2498.323183199347
Gen 44 : 2498.323183199347
Gen 45 : 2498.323183199347
Gen 46 : 2498.323183199347
Gen 47 : 2498.323183199347
Gen 48 : 2498.323183199347
Gen 49 : 2498.323183199347
Gen 50 : 2498.323183199347
Gen 51 : 2498.323183199347
Gen 52 : 2498.323183199347
Gen 53 : 2498.323183199347
Gen 54 : 2498.323183199347
Gen 55 : 2475.253085888691
Gen 56 : 2475.253085888691
Gen 57 : 2475.253085888691
Gen 58 : 2475.253085888691
Gen 59 : 2475.253085888691
Gen 60 : 2475.253085888691
Gen 61 : 2475.253085888691
Gen 62 : 2475.253085888691
Gen 63 : 2475.253085888691
Gen 64 : 2475.253085888691
Gen 65 : 2475.253085888691
Gen 66 : 2475.253085888691
Gen 67 : 2475.253085888691
Gen 68 : 2475.253085888691
Gen 69 : 2475.253085888691
Gen 70 : 2288.8449017305616
Gen 71 : 2288.8449017305616
Gen 72 : 2288.8449017305616
Gen 73 : 2288.8449017305616
Gen 74 : 2288.8449017305616
Gen 75 : 2288.8449017305616
Gen 76 : 2288.8449017305616
Gen 77 : 2288.8449017305616
Gen 78 : 2288.8449017305616
Gen 79 : 2288.8449017305616
Gen 80 : 2288.8449017305616
Gen 81 : 2288.8449017305616
Gen 82 : 2288.8449017305616
Gen 83 : 2288.8449017305616
Gen 84 : 2288.8449017305616
Gen 85 : 2288.8449017305616
Gen 86 : 2288.8449017305616
Gen 87 : 2288.8449017305616
Gen 88 : 2288.8449017305616
Gen 89 : 2288.8449017305616
Gen 90 : 2288.8449017305616
Gen 91 : 2288.8449017305616
Gen 92 : 2288.8449017305616
Gen 93 : 2288.8449017305616
Gen 94 : 2288.8449017305616
Gen 95 : 2288.8449017305616
Gen 96 : 2288.8449017305616
Gen 97 : 2288.8449017305616
Gen 98 : 2288.8449017305616
Gen 99 : 2288.8449017305616
Gen 100 : 2288.8449017305616
Gen 101 : 2288.8449017305616
Gen 102 : 2288.8449017305616
Gen 103 : 2288.8449017305616
Gen 104 : 2288.8449017305616
Gen 105 : 2288.8449017305616
Gen 106 : 2288.8449017305616
Gen 107 : 2288.8449017305616
Gen 108 : 2288.8449017305616
Gen 109 : 2288.8449017305616
Gen 110 : 2288.8449017305616
Gen 111 : 2288.8449017305616
Gen 112 : 2288.8449017305616
