---Min Power Records---
Gen 1 : 8000.934223493187
Gen 2 : 8188.748715288487
Gen 3 : 8007.717236095168
Gen 4 : 8004.117119518693
Gen 5 : 8003.637137796336
Gen 6 : 8054.965761355106
Gen 7 : 8050.460117863729
Gen 8 : 8036.701136509326
Gen 9 : 8052.996058166911
Gen 10 : 8097.114680970634
Gen 11 : 8022.891678592621
Gen 12 : 8015.1379822835925
Gen 13 : 8068.797173226635
Gen 14 : 8058.444533508732
Gen 15 : 8048.143553766833
Gen 16 : 8134.29833012194
Gen 17 : 8020.73673751686
Gen 18 : 8097.355076695085
Gen 19 : 8106.564859098656
Gen 20 : 8086.068337727643
Gen 21 : 8002.600049540273
Gen 22 : 8045.314319466309
Gen 23 : 8055.9623004113055
Gen 24 : 8016.171267609192
Gen 25 : 8075.030714247027
Gen 26 : 8014.579506123331
Gen 27 : 8064.54728732754
Gen 28 : 8005.956970070695
Gen 29 : 8027.239012926058
Gen 30 : 4263.361835130541
Gen 31 : 4263.361835130541
Gen 32 : 4263.361835130541
Gen 33 : 4263.361835130541
Gen 34 : 4263.361835130541
Gen 35 : 4263.361835130541
Gen 36 : 4263.361835130541
Gen 37 : 4263.361835130541
Gen 38 : 4263.361835130541
Gen 39 : 4263.361835130541
Gen 40 : 4263.361835130541
Gen 41 : 4263.361835130541
Gen 42 : 4263.361835130541
Gen 43 : 4263.361835130541
Gen 44 : 4263.361835130541
Gen 45 : 4263.361835130541
Gen 46 : 4263.361835130541
Gen 47 : 4263.361835130541
Gen 48 : 4263.361835130541
Gen 49 : 4263.361835130541
Gen 50 : 4263.361835130541
Gen 51 : 4263.361835130541
Gen 52 : 4263.361835130541
Gen 53 : 4263.361835130541
Gen 54 : 4263.361835130541
Gen 55 : 4263.361835130541
Gen 56 : 4263.361835130541
Gen 57 : 4263.361835130541
Gen 58 : 4263.361835130541
Gen 59 : 4263.361835130541
Gen 60 : 4263.361835130541
Gen 61 : 4263.361835130541
Gen 62 : 4263.361835130541
Gen 63 : 4263.361835130541
Gen 64 : 4263.361835130541
Gen 65 : 4263.361835130541
Gen 66 : 4263.361835130541
Gen 67 : 4263.361835130541
Gen 68 : 4263.361835130541
Gen 69 : 4263.361835130541
Gen 70 : 4263.361835130541
Gen 71 : 4263.361835130541
Gen 72 : 4263.361835130541
Gen 73 : 4263.361835130541
Gen 74 : 4263.361835130541
Gen 75 : 4263.361835130541
Gen 76 : 4263.361835130541
Gen 77 : 4263.361835130541
Gen 78 : 4263.361835130541
Gen 79 : 4263.361835130541
Gen 80 : 4263.361835130541
Gen 81 : 4263.361835130541
Gen 82 : 4263.361835130541
Gen 83 : 4263.361835130541
Gen 84 : 4263.361835130541
Gen 85 : 4263.361835130541
Gen 86 : 4263.361835130541
Gen 87 : 4263.361835130541
Gen 88 : 4263.361835130541
Gen 89 : 4263.361835130541
Gen 90 : 4263.361835130541
Gen 91 : 4263.361835130541
Gen 92 : 4263.361835130541
Gen 93 : 4263.361835130541
Gen 94 : 4263.361835130541
Gen 95 : 4263.361835130541
Gen 96 : 4263.361835130541
Gen 97 : 4263.361835130541
Gen 98 : 4263.361835130541
Gen 99 : 4263.361835130541
Gen 100 : 4263.361835130541
Gen 101 : 4263.361835130541
Gen 102 : 4263.361835130541
Gen 103 : 4263.361835130541
Gen 104 : 4263.361835130541
Gen 105 : 4263.361835130541
Gen 106 : 4263.361835130541
Gen 107 : 4263.361835130541
Gen 108 : 4263.361835130541
Gen 109 : 4263.361835130541
Gen 110 : 4263.361835130541
Gen 111 : 4263.361835130541
Gen 112 : 4263.361835130541
Gen 113 : 4263.361835130541
Gen 114 : 4263.361835130541
Gen 115 : 4263.361835130541
Gen 116 : 4263.361835130541
Gen 117 : 4263.361835130541
Gen 118 : 4263.361835130541
Gen 119 : 4263.361835130541
Gen 120 : 4263.361835130541
Gen 121 : 4263.361835130541
Gen 122 : 4263.361835130541
Gen 123 : 4263.361835130541
Gen 124 : 4263.361835130541
Gen 125 : 4263.361835130541
Gen 126 : 4263.361835130541
Gen 127 : 4263.361835130541
Gen 128 : 4263.361835130541
Gen 129 : 4263.361835130541
Gen 130 : 4263.361835130541
Gen 131 : 4263.361835130541
Gen 132 : 4263.361835130541
Gen 133 : 4263.361835130541
Gen 134 : 4263.361835130541
Gen 135 : 4263.361835130541
Gen 136 : 4263.361835130541
Gen 137 : 4263.361835130541
Gen 138 : 4263.361835130541
Gen 139 : 4263.361835130541
Gen 140 : 4263.361835130541
Gen 141 : 4263.361835130541
Gen 142 : 4263.361835130541
Gen 143 : 4263.361835130541
Gen 144 : 4263.361835130541
Gen 145 : 4263.361835130541
Gen 146 : 4263.361835130541
Gen 147 : 4263.361835130541
Gen 148 : 4263.361835130541
Gen 149 : 4263.361835130541
Gen 150 : 4263.361835130541
Gen 151 : 4263.361835130541
Gen 152 : 4263.361835130541
Gen 153 : 4263.361835130541
Gen 154 : 4263.361835130541
Gen 155 : 4263.361835130541
Gen 156 : 4263.361835130541
Gen 157 : 4263.361835130541
Gen 158 : 0.0
Gen 159 : 0.0
Gen 160 : 0.0
Gen 161 : 0.0
Gen 162 : 0.0
Gen 163 : 0.0
Gen 164 : 0.0
Gen 165 : 0.0
Gen 166 : 0.0
Gen 167 : 0.0
Gen 168 : 0.0
Gen 169 : 0.0
Gen 170 : 0.0
Gen 171 : 0.0
Gen 172 : 0.0
Gen 173 : 0.0
Gen 174 : 0.0
Gen 175 : 0.0
Gen 176 : 0.0
Gen 177 : 0.0
Gen 178 : 0.0
